Rank,ZIP,City,Events,Total Attendees/Views,Status
60,95061,"Santa Cruz, California",0,0,Not Served
61,95062,"Santa Cruz, California",0,0,Not Served
62,95063,"Santa Cruz, California",0,0,Not Served
63,95064,"Santa Cruz, California",0,0,Not Served
64,95065,"Santa Cruz, California",0,0,Not Served
65,95305,"Big Oak Flat, California",0,0,Not Served
66,95306,"Catheys Valley, California",0,0,Not Served
67,95309,"Chinese Camp, California",0,0,Not Served
68,95311,"Coulterville, California",0,0,Not Served
69,95318,"El Portal, California",0,0,Not Served
70,95321,"Groveland, California",0,0,Not Served
71,95325,"Hornitos, California",0,0,Not Served
72,95327,"Jamestown, California",0,0,Not Served
73,95329,"La Grange, California",0,0,Not Served
74,95427,"Comptche, California",0,0,Not Served
75,95428,"Covelo, California",0,0,Not Served
76,95429,"Dos Rios, California",0,0,Not Served
77,95432,"Elk, California",0,0,Not Served
78,95435,"Finley, California",0,0,Not Served
79,95437,"Fort Bragg, California",0,0,Not Served
80,95441,"Geyserville, California",0,0,Not Served
81,95443,"Glenhaven, California",0,0,Not Served
82,95445,"Gualala, California",0,0,Not Served
83,95449,"Hopland, California",0,0,Not Served
84,95450,"Jenner, California",0,0,Not Served
85,95451,"Kelseyville, California",0,0,Not Served
86,95453,"Lakeport, California",0,0,Not Served
87,95454,"Laytonville, California",0,0,Not Served
88,95456,"Little River, California",0,0,Not Served
89,95457,"Lower Lake, California",0,0,Not Served
90,95458,"Lucerne, California",0,0,Not Served
91,95459,"Manchester, California",0,0,Not Served
92,95460,"Mendocino, California",0,0,Not Served
93,95461,"Middletown, California",0,0,Not Served
94,95463,"Navarro, California",0,0,Not Served
95,95464,"Nice, California",0,0,Not Served
96,95466,"Philo, California",0,0,Not Served
97,95467,"Hidden Valley Lake, California",0,0,Not Served
98,95468,"Point Arena, California",0,0,Not Served
99,95469,"Potter Valley, California",0,0,Not Served
100,95481,"Talmage, California",0,0,Not Served
101,95482,"Ukiah, California",0,0,Not Served
102,95485,"Upper Lake, California",0,0,Not Served
103,95488,"Westport, California",0,0,Not Served
104,95490,"Willits, California",0,0,Not Served
105,95493,"Witter Springs, California",0,0,Not Served
106,95494,"Yorkville, California",0,0,Not Served
107,95501,"Eureka, California",0,0,Not Served
108,95503,"Eureka, California",0,0,Not Served
109,95511,"Alderpoint, California",0,0,Not Served
110,95514,"Blocksburg, California",0,0,Not Served
111,95519,"Mckinleyville, California",0,0,Not Served
112,95521,"Arcata, California",0,0,Not Served
113,95524,"Bayside, California",0,0,Not Served
114,95525,"Blue Lake, California",0,0,Not Served
115,95526,"Bridgeville, California",0,0,Not Served
116,95527,"Burnt Ranch, California",0,0,Not Served
117,95528,"Carlotta, California",0,0,Not Served
118,95531,"Crescent City, California",0,0,Not Served
119,95536,"Ferndale, California",0,0,Not Served
120,95537,"Fields Landing, California",0,0,Not Served
121,95538,"Fort Dick, California",0,0,Not Served
122,95542,"Garberville, California",0,0,Not Served
123,95543,"Gasquet, California",0,0,Not Served
124,95545,"Honeydew, California",0,0,Not Served
125,95546,"Hoopa, California",0,0,Not Served
126,95547,"Hydesville, California",0,0,Not Served
127,95548,"Klamath, California",0,0,Not Served
128,95549,"Kneeland, California",0,0,Not Served
129,95550,"Korbel, California",0,0,Not Served
130,95551,"Loleta, California",0,0,Not Served
131,95552,"Mad River, California",0,0,Not Served
132,95553,"Miranda, California",0,0,Not Served
133,95554,"Myers Flat, California",0,0,Not Served
134,95555,"Orick, California",0,0,Not Served
135,95556,"Orleans, California",0,0,Not Served
136,95558,"Petrolia, California",0,0,Not Served
137,95559,"Phillipsville, California",0,0,Not Served
138,95560,"Redway, California",0,0,Not Served
139,95562,"Rio Dell, California",0,0,Not Served
140,95563,"Salyer, California",0,0,Not Served
141,95564,"Samoa, California",0,0,Not Served
142,95565,"Scotia, California",0,0,Not Served
143,95567,"Smith River, California",0,0,Not Served
144,95568,"Somes Bar, California",0,0,Not Served
145,95569,"Redcrest, California",0,0,Not Served
146,95570,"Trinidad, California",0,0,Not Served
147,95571,"Weott, California",0,0,Not Served
148,95573,"Willow Creek, California",0,0,Not Served
149,95585,"Leggett, California",0,0,Not Served
150,95587,"Piercy, California",0,0,Not Served
151,95589,"Whitethorn, California",0,0,Not Served
152,95595,"Zenia, California",0,0,Not Served
153,95601,"Amador City, California",0,0,Not Served
154,95602,"Auburn, California",0,0,Not Served
155,95604,"Auburn, California",0,0,Not Served
156,95607,"Capay, California",0,0,Not Served
157,95613,"Coloma, California",0,0,Not Served
158,95623,"El Dorado, California",0,0,Not Served
159,95629,"Fiddletown, California",0,0,Not Served
160,95631,"Foresthill, California",0,0,Not Served
161,95633,"Garden Valley, California",0,0,Not Served
162,95635,"Greenwood, California",0,0,Not Served
163,95636,"Grizzly Flats, California",0,0,Not Served
164,95644,"Kit Carson, California",0,0,Not Served
165,95646,"Kirkwood, California",0,0,Not Served
166,95648,"Lincoln, California",0,0,Not Served
167,95650,"Loomis, California",0,0,Not Served
168,95651,"Lotus, California",0,0,Not Served
169,95656,"Mount Aukum, California",0,0,Not Served
170,95658,"Newcastle, California",0,0,Not Served
171,95663,"Penryn, California",0,0,Not Served
172,95664,"Pilot Hill, California",0,0,Not Served
173,95665,"Pine Grove, California",0,0,Not Served
174,95666,"Pioneer, California",0,0,Not Served
175,95669,"Plymouth, California",0,0,Not Served
176,95672,"Rescue, California",0,0,Not Served
177,95675,"River Pines, California",0,0,Not Served
178,95679,"Rumsey, California",0,0,Not Served
179,95681,"Sheridan, California",0,0,Not Served
180,95684,"Somerset, California",0,0,Not Served
181,95689,"Volcano, California",0,0,Not Served
182,95699,"Drytown, California",0,0,Not Served
183,95701,"Alta, California",0,0,Not Served
184,95703,"Applegate, California",0,0,Not Served
185,95709,"Camino, California",0,0,Not Served
186,95712,"Chicago Park, California",0,0,Not Served
187,95713,"Colfax, California",0,0,Not Served
188,95714,"Dutch Flat, California",0,0,Not Served
189,95715,"Emigrant Gap, California",0,0,Not Served
190,95717,"Gold Run, California",0,0,Not Served
191,95720,"Kyburz, California",0,0,Not Served
192,95721,"Echo Lake, California",0,0,Not Served
193,95722,"Meadow Vista, California",0,0,Not Served
194,95724,"Norden, California",0,0,Not Served
195,95726,"Pollock Pines, California",0,0,Not Served
196,95728,"Soda Springs, California",0,0,Not Served
197,95735,"Twin Bridges, California",0,0,Not Served
198,95736,"Weimar, California",0,0,Not Served
199,95746,"Granite Bay, California",0,0,Not Served
200,95910,"Alleghany, California",0,0,Not Served
201,95914,"Bangor, California",0,0,Not Served
202,95915,"Belden, California",0,0,Not Served
203,95916,"Berry Creek, California",0,0,Not Served
204,95917,"Biggs, California",0,0,Not Served
205,95919,"Brownsville, California",0,0,Not Served
206,95922,"Camptonville, California",0,0,Not Served
207,95923,"Canyon Dam, California",0,0,Not Served
208,95924,"Cedar Ridge, California",0,0,Not Served
209,95925,"Challenge, California",0,0,Not Served
210,95926,"Chico, California",0,0,Not Served
211,95927,"Chico, California",0,0,Not Served
212,95928,"Chico, California",0,0,Not Served
213,95929,"Chico, California",0,0,Not Served
214,95930,"Clipper Mills, California",0,0,Not Served
215,95934,"Crescent Mills, California",0,0,Not Served
216,95935,"Dobbins, California",0,0,Not Served
217,95936,"Downieville, California",0,0,Not Served
218,95937,"Dunnigan, California",0,0,Not Served
219,95938,"Durham, California",0,0,Not Served
220,95939,"Elk Creek, California",0,0,Not Served
221,95940,"Feather Falls, California",0,0,Not Served
222,95941,"Forbestown, California",0,0,Not Served
223,95942,"Forest Ranch, California",0,0,Not Served
224,95944,"Goodyears Bar, California",0,0,Not Served
225,95946,"Penn Valley, California",0,0,Not Served
226,95948,"Gridley, California",0,0,Not Served
227,95949,"Grass Valley, California",0,0,Not Served
228,95954,"Magalia, California",0,0,Not Served
229,95956,"Meadow Valley, California",0,0,Not Served
230,95958,"Nelson, California",0,0,Not Served
231,95959,"Nevada City, California",0,0,Not Served
232,95960,"North San Juan, California",0,0,Not Served
233,95962,"Oregon House, California",0,0,Not Served
234,95965,"Oroville, California",0,0,Not Served
235,95966,"Oroville, California",0,0,Not Served
236,95967,"Paradise, California",0,0,Not Served
237,95968,"Palermo, California",0,0,Not Served
238,95969,"Paradise, California",0,0,Not Served
239,95971,"Quincy, California",0,0,Not Served
240,95972,"Rackerby, California",0,0,Not Served
241,95973,"Chico, California",0,0,Not Served
242,95974,"Richvale, California",0,0,Not Served
243,95975,"Rough And Ready, California",0,0,Not Served
244,95977,"Smartsville, California",0,0,Not Served
245,95978,"Stirling City, California",0,0,Not Served
246,95979,"Stonyford, California",0,0,Not Served
247,95980,"Storrie, California",0,0,Not Served
248,95983,"Taylorsville, California",0,0,Not Served
249,95984,"Twain, California",0,0,Not Served
250,95986,"Washington, California",0,0,Not Served
251,96001,"Redding, California",0,0,Not Served
252,96003,"Redding, California",0,0,Not Served
253,96006,"Adin, California",0,0,Not Served
254,96007,"Anderson, California",0,0,Not Served
255,96008,"Bella Vista, California",0,0,Not Served
256,96009,"Bieber, California",0,0,Not Served
257,96010,"Big Bar, California",0,0,Not Served
258,96011,"Big Bend, California",0,0,Not Served
259,96013,"Burney, California",0,0,Not Served
260,96014,"Callahan, California",0,0,Not Served
261,96015,"Canby, California",0,0,Not Served
262,96016,"Cassel, California",0,0,Not Served
263,96017,"Castella, California",0,0,Not Served
264,96019,"Shasta Lake, California",0,0,Not Served
265,96020,"Chester, California",0,0,Not Served
266,96021,"Corning, California",0,0,Not Served
267,96022,"Cottonwood, California",0,0,Not Served
268,96023,"Dorris, California",0,0,Not Served
269,96024,"Douglas City, California",0,0,Not Served
270,96025,"Dunsmuir, California",0,0,Not Served
271,96027,"Etna, California",0,0,Not Served
272,96028,"Fall River Mills, California",0,0,Not Served
273,96029,"Flournoy, California",0,0,Not Served
274,96031,"Forks Of Salmon, California",0,0,Not Served
275,96032,"Fort Jones, California",0,0,Not Served
276,96033,"French Gulch, California",0,0,Not Served
277,96034,"Gazelle, California",0,0,Not Served
278,96035,"Gerber, California",0,0,Not Served
279,96037,"Greenview, California",0,0,Not Served
280,96038,"Grenada, California",0,0,Not Served
281,96039,"Happy Camp, California",0,0,Not Served
282,96040,"Hat Creek, California",0,0,Not Served
283,96041,"Hayfork, California",0,0,Not Served
284,96044,"Hornbrook, California",0,0,Not Served
285,96046,"Hyampom, California",0,0,Not Served
286,96047,"Igo, California",0,0,Not Served
287,96048,"Junction City, California",0,0,Not Served
288,96050,"Klamath River, California",0,0,Not Served
289,96051,"Lakehead, California",0,0,Not Served
290,96052,"Lewiston, California",0,0,Not Served
291,96054,"Lookout, California",0,0,Not Served
292,96055,"Los Molinos, California",0,0,Not Served
293,96056,"Mcarthur, California",0,0,Not Served
294,96057,"Mccloud, California",0,0,Not Served
295,96058,"Macdoel, California",0,0,Not Served
296,96059,"Manton, California",0,0,Not Served
297,96061,"Mill Creek, California",0,0,Not Served
298,96062,"Millville, California",0,0,Not Served
299,96063,"Mineral, California",0,0,Not Served
300,96064,"Montague, California",0,0,Not Served
301,96065,"Montgomery Creek, California",0,0,Not Served
302,96067,"Mount Shasta, California",0,0,Not Served
303,96068,"Nubieber, California",0,0,Not Served
304,96069,"Oak Run, California",0,0,Not Served
305,96071,"Old Station, California",0,0,Not Served
306,96073,"Palo Cedro, California",0,0,Not Served
307,96074,"Paskenta, California",0,0,Not Served
308,96075,"Paynes Creek, California",0,0,Not Served
309,96076,"Platina, California",0,0,Not Served
310,96078,"Proberta, California",0,0,Not Served
311,96079,"Shasta Lake, California",0,0,Not Served
312,96080,"Red Bluff, California",0,0,Not Served
313,96084,"Round Mountain, California",0,0,Not Served
314,96085,"Scott Bar, California",0,0,Not Served
315,96086,"Seiad Valley, California",0,0,Not Served
316,96087,"Shasta, California",0,0,Not Served
317,96088,"Shingletown, California",0,0,Not Served
318,96089,"Shasta Lake, California",0,0,Not Served
319,96090,"Tehama, California",0,0,Not Served
320,96091,"Trinity Center, California",0,0,Not Served
321,96092,"Vina, California",0,0,Not Served
322,96093,"Weaverville, California",0,0,Not Served
323,96094,"Weed, California",0,0,Not Served
324,96096,"Whitmore, California",0,0,Not Served
325,96097,"Yreka, California",0,0,Not Served
326,96101,"Alturas, California",0,0,Not Served
327,96103,"Blairsden Graeagle, California",0,0,Not Served
328,96104,"Cedarville, California",0,0,Not Served
329,96105,"Chilcoot, California",0,0,Not Served
330,96106,"Clio, California",0,0,Not Served
331,96107,"Coleville, California",0,0,Not Served
332,96108,"Davis Creek, California",0,0,Not Served
333,96109,"Doyle, California",0,0,Not Served
334,96110,"Eagleville, California",0,0,Not Served
335,96111,"Floriston, California",0,0,Not Served
336,96112,"Fort Bidwell, California",0,0,Not Served
337,96113,"Herlong, California",0,0,Not Served
338,96114,"Janesville, California",0,0,Not Served
339,96115,"Lake City, California",0,0,Not Served
340,96116,"Likely, California",0,0,Not Served
341,96117,"Litchfield, California",0,0,Not Served
342,96118,"Loyalton, California",0,0,Not Served
343,96119,"Madeline, California",0,0,Not Served
344,96120,"Markleeville, California",0,0,Not Served
345,96121,"Milford, California",0,0,Not Served
346,96122,"Portola, California",0,0,Not Served
347,96123,"Ravendale, California",0,0,Not Served
348,96124,"Calpine, California",0,0,Not Served
349,96125,"Sierra City, California",0,0,Not Served
350,96126,"Sierraville, California",0,0,Not Served
351,96128,"Standish, California",0,0,Not Served
352,96129,"Beckwourth, California",0,0,Not Served
353,96130,"Susanville, California",0,0,Not Served
354,96132,"Termo, California",0,0,Not Served
355,96133,"Topaz, California",0,0,Not Served
356,96134,"Tulelake, California",0,0,Not Served
357,96135,"Vinton, California",0,0,Not Served
358,96136,"Wendel, California",0,0,Not Served
359,96137,"Westwood, California",0,0,Not Served
360,96140,"Carnelian Bay, California",0,0,Not Served
361,96141,"Homewood, California",0,0,Not Served
362,96142,"Tahoma, California",0,0,Not Served
363,96143,"Kings Beach, California",0,0,Not Served
364,96145,"Tahoe City, California",0,0,Not Served
365,96146,"Olympic Valley, California",0,0,Not Served
366,96148,"Tahoe Vista, California",0,0,Not Served
367,96151,"South Lake Tahoe, California",0,0,Not Served
368,96152,"South Lake Tahoe, California",0,0,Not Served
369,96155,"South Lake Tahoe, California",0,0,Not Served
370,96156,"South Lake Tahoe, California",0,0,Not Served
371,96158,"South Lake Tahoe, California",0,0,Not Served
372,96162,"Truckee, California",0,0,Not Served
373,91008,"Duarte, California",1,1,Served
374,92061,"Pauma Valley, California",1,1,Served
375,92065,"Ramona, California",1,1,Served
376,92082,"Valley Center, California",1,1,Served
377,93605,"Big Creek, California",1,1,Served
378,94941,"Mill Valley, California",1,1,Served
379,95470,"Redwood Valley, California",1,1,Served
380,95634,"Georgetown, California",1,1,Served
381,95640,"Ione, California",1,1,Served
382,95642,"Jackson, California",1,1,Served
383,95678,"Roseville, California",1,1,Served
384,95947,"Greenville, California",1,1,Served
385,96160,"Truckee, California",1,1,Served
386,92256,"Morongo Valley, California",1,2,Served
387,95310,"Columbia, California",1,81,Served
388,90063,"Los Angeles, California",2,2,Served
389,92549,"Idyllwild, California",2,2,Served
390,93614,"Coarsegold, California",2,2,Served
391,93930,"King City, California",2,2,Served
392,93955,"Seaside, California",2,2,Served
393,95540,"Fortuna, California",2,2,Served
394,95614,"Cool, California",2,2,Served
395,95619,"Diamond Springs, California",2,2,Served
396,95682,"Shingle Springs, California",2,2,Served
397,95685,"Sutter Creek, California",2,2,Served
398,96150,"South Lake Tahoe, California",2,2,Served
399,94930,"Fairfax, California",2,6,Served
400,94939,"Larkspur, California",2,40,Served
401,94945,"Novato, California",2,50,Served
402,93634,"Lakeshore, California",2,56,Served
403,90046,"Los Angeles, California",2,200,Served
404,93621,"Dunlap, California",3,3,Served
405,96002,"Redding, California",3,3,Served
406,93960,"Soledad, California",4,4,Served
407,95060,"Santa Cruz, California",4,4,Served
408,95765,"Rocklin, California",4,4,Served
409,96161,"Truckee, California",4,4,Served
410,93950,"Pacific Grove, California",4,7,Served
411,90265,"Malibu, California",4,402,Served
412,93001,"Ventura, California",5,5,Served
413,95677,"Rocklin, California",5,5,Served
414,95747,"Roseville, California",5,5,Served
415,95945,"Grass Valley, California",5,5,Served
416,93610,"Chowchilla, California",7,7,Served
417,95603,"Auburn, California",8,8,Served
418,93940,"Monterey, California",9,28,Served
419,93637,"Madera, California",10,60,Served
420,95661,"Roseville, California",12,12,Served
421,95667,"Placerville, California",12,120,Served
422,95762,"El Dorado Hills, California",13,101,Served
